Region,BAU,CAP,INV,CON,LAB
Germany,-0.162%,-0.164%,-0.171%,-0.003%,-0.034%
France,-1.336%,-1.344%,-1.360%,-0.193%,-0.408%
Italy,-0.121%,-0.122%,-0.124%,-0.020%,-0.042%
Poland,-0.386%,-0.389%,-0.393%,-0.283%,-0.275%
"Spain and 
Portugal",-0.414%,-0.416%,-0.419%,-0.095%,-0.169%
Benelux,-0.553%,-0.559%,-0.572%,0.137%,-0.124%
Northern EU,-0.751%,-0.761%,-0.774%,-0.145%,-0.277%
"Central and 
Southeastern EU",-0.262%,-0.263%,-0.265%,-0.039%,-0.062%
UK,-1.202%,-1.208%,-1.230%,-0.063%,-0.444%
EU-28,-0.566%,-0.570%,-0.579%,-0.082%,-0.196%
