,,BAU,CAP,INV,CON,LAB
Germany,Electricity,13.32%,13.77%,15.07%,27.77%,12.48%
Germany,Fossil fuels,-27.92%,-27.77%,-27.39%,-26.88%,-27.90%
Germany,"Total energy 
consumption",-16.88%,-16.65%,-16.03%,-12.26%,-17.09%
France,Electricity,17.71%,18.10%,18.77%,22.15%,18.69%
France,Fossil fuels,-25.43%,-25.20%,-24.86%,-19.56%,-24.78%
France,"Total energy 
consumption",-12.65%,-12.37%,-11.94%,-7.20%,-11.91%
Italy,Electricity,6.88%,7.48%,8.17%,6.25%,6.42%
Italy,Fossil fuels,-9.34%,-9.04%,-8.66%,-4.24%,-9.25%
Italy,"Total energy 
consumption",-6.23%,-5.88%,-5.44%,-2.23%,-6.25%
Poland,Electricity,-28.06%,-28.08%,-28.06%,-29.23%,-28.29%
Poland,Fossil fuels,4.97%,5.04%,5.24%,8.54%,5.05%
Poland,"Total energy 
consumption",-5.45%,-5.41%,-5.27%,-3.38%,-5.47%
"Spain and 
Portugal",Electricity,-18.56%,-18.45%,-18.31%,-19.23%,-18.60%
"Spain and 
Portugal",Fossil fuels,-11.59%,-11.48%,-11.28%,-7.18%,-11.48%
"Spain and 
Portugal","Total energy 
consumption",-14.03%,-13.91%,-13.74%,-11.39%,-13.97%
Benelux,Electricity,21.84%,22.84%,25.01%,30.90%,21.52%
Benelux,Fossil fuels,-18.91%,-18.44%,-17.47%,-10.77%,-18.78%
Benelux,"Total energy 
consumption",-9.47%,-8.88%,-7.63%,-1.12%,-9.45%
Northern EU,Electricity,-5.98%,-5.59%,-5.25%,-2.66%,-5.46%
Northern EU,Fossil fuels,-15.64%,-15.43%,-15.24%,-10.76%,-15.04%
Northern EU,"Total energy 
consumption",-10.37%,-10.06%,-9.79%,-6.34%,-9.81%
"Central and 
Southeastern EU",Electricity,-4.97%,-4.75%,-4.61%,-4.61%,-5.09%
"Central and 
Southeastern EU",Fossil fuels,-7.65%,-7.87%,-8.10%,-0.87%,-7.58%
"Central and 
Southeastern EU","Total energy 
consumption",-6.82%,-6.91%,-7.02%,-2.03%,-6.81%
UK,Electricity,33.66%,33.82%,34.92%,33.43%,34.04%
UK,Fossil fuels,-39.90%,-39.84%,-39.59%,-37.32%,-39.80%
UK,"Total energy 
consumption",-26.74%,-26.66%,-26.26%,-24.66%,-26.59%
