Region,Sector,BAU,CAP,INV,CON,LAB
Germany,"Energy Int. 
Industries",-0.04%,-0.11%,-0.30%,0.25%,0.20%
Germany,"Other 
Industries",0.47%,0.41%,0.25%,1.49%,0.75%
Germany,Other Sectors,-2.08%,-2.14%,-2.31%,-2.48%,-1.97%
Germany,Services,0.10%,0.09%,0.03%,-0.44%,0.24%
France,"Energy Int. 
Industries",1.92%,1.91%,1.87%,4.55%,3.35%
France,"Other 
Industries",0.57%,0.59%,0.61%,3.86%,1.92%
France,Other Sectors,-4.30%,-4.45%,-4.71%,-4.18%,-3.40%
France,Services,-1.14%,-1.10%,-1.02%,-0.34%,-0.31%
Italy,"Energy Int. 
Industries",2.01%,1.99%,1.95%,2.60%,2.20%
Italy,"Other 
Industries",-0.15%,-0.18%,-0.22%,0.46%,0.00%
Italy,Other Sectors,-1.48%,-1.53%,-1.57%,-1.80%,-1.43%
Italy,Services,-0.14%,-0.13%,-0.11%,-0.17%,-0.10%
Poland,"Energy Int. 
Industries",-0.22%,-0.25%,-0.29%,-0.03%,-0.08%
Poland,"Other 
Industries",0.87%,0.85%,0.77%,1.60%,1.02%
Poland,Other Sectors,-0.32%,-0.32%,-0.34%,-0.53%,-0.21%
Poland,Services,-0.24%,-0.24%,-0.21%,-0.36%,-0.15%
Spain and Portugal,"Energy Int. 
Industries",-0.74%,-0.80%,-0.91%,0.07%,-0.30%
Spain and Portugal,"Other 
Industries",-1.37%,-1.41%,-1.49%,-0.06%,-0.97%
Spain and Portugal,Other Sectors,-0.69%,-0.75%,-0.83%,-0.57%,-0.36%
Spain and Portugal,Services,-0.41%,-0.38%,-0.34%,-0.23%,-0.14%
Benelux,"Energy Int. 
Industries",2.72%,2.69%,2.59%,3.96%,2.95%
Benelux,"Other 
Industries",1.14%,1.18%,1.25%,3.26%,1.42%
Benelux,Other Sectors,-4.57%,-4.75%,-5.13%,-5.22%,-4.13%
Benelux,Services,0.03%,0.06%,0.12%,0.42%,0.38%
Northern EU,"Energy Int. 
Industries",3.72%,3.65%,3.55%,4.29%,3.92%
Northern EU,"Other 
Industries",-0.02%,-0.03%,-0.06%,1.54%,0.59%
Northern EU,Other Sectors,-3.97%,-4.07%,-4.15%,-4.08%,-3.41%
Northern EU,Services,-0.33%,-0.33%,-0.36%,-0.02%,0.09%
Central and Southeastern EU,"Energy Int. 
Industries",-6.26%,-6.33%,-6.42%,-5.50%,-5.94%
Central and Southeastern EU,"Other 
Industries",-3.36%,-3.36%,-3.44%,-2.13%,-3.12%
Central and Southeastern EU,Other Sectors,2.34%,2.43%,2.57%,1.70%,2.64%
Central and Southeastern EU,Services,-0.36%,-0.48%,-0.61%,-0.40%,-0.34%
UK,"Energy Int. 
Industries",-1.12%,-1.16%,-1.30%,1.50%,0.24%
UK,"Other 
Industries",-2.44%,-2.51%,-2.79%,0.93%,-0.97%
UK,Other Sectors,-2.77%,-2.80%,-2.95%,-2.00%,-1.93%
UK,Services,-0.86%,-0.86%,-0.88%,-0.03%,-0.09%
EU-28,"Energy Int. 
Industries",0.50%,0.45%,0.34%,1.49%,0.98%
EU-28,"Other 
Industries",-0.43%,-0.45%,-0.54%,1.30%,0.16%
EU-28,Other Sectors,-2.08%,-2.14%,-2.26%,-2.21%,-1.63%
EU-28,Services,-0.42%,-0.42%,-0.42%,-0.20%,-0.03%
