Region,Year,Value,Value_2020,CAP,INV,BAU,CON,LAB,REF
ETS,2030,100.92285145337144,115.00654050659661,76.46010148126393,NA,NA,NA,NA,NA
ETS,2030,101.91131922153112,116.13294802264706,NA,77.20897395936039,NA,NA,NA,NA
ETS,2030,100.47083838680469,114.49144944148101,NA,NA,76.11765213066745,NA,NA,NA
ETS,2030,109.5024326927353,124.78339424314026,NA,NA,NA,82.9600729226336,NA,NA
ETS,2030,100.80481779196884,114.87203535869646,NA,NA,NA,NA,76.37067806923105,NA
France,2030,390.6263916570159,445.13793742544436,295.9422283183779,NA,NA,NA,NA,NA
Germany,2030,546.8614900451352,623.1754969332331,414.3074083114348,NA,NA,NA,NA,NA
Italy,2030,159.57553403026077,181.84414980379444,120.89592545369,NA,NA,NA,NA,NA
Poland,2030,56.56386774371435,64.45730231753122,42.85331820866535,NA,NA,NA,NA,NA
"Spain and 
Portugal",2030,104.99399015198098,119.64580278374237,79.54443445003469,NA,NA,NA,NA,NA
UK,2030,300.61259667954357,342.5628019714874,227.74693062733843,NA,NA,NA,NA,NA
Benelux,2030,333.2428167556179,379.7465385868963,252.46789225737442,NA,NA,NA,NA,NA
Northern EU,2030,331.6867901253803,377.9733699030681,251.28903184724734,NA,NA,NA,NA,NA
"Central and 
Southeastern EU",2030,100.46830641956834,114.48856414059686,76.11573388847502,NA,NA,NA,NA,NA
France,2030,394.4312078881387,449.4737121851077,NA,298.82479288091025,NA,NA,NA,NA
Germany,2030,551.233257853033,628.1573408292782,NA,417.61950072094055,NA,NA,NA,NA
Italy,2030,160.93606152028642,183.39453762616256,NA,121.92667387644413,NA,NA,NA,NA
Poland,2030,57.16221921079061,65.13915316938989,NA,43.3066349078596,NA,NA,NA,NA
"Spain and 
Portugal",2030,105.63987329785125,120.38181831549116,NA,80.03376159613792,NA,NA,NA,NA
UK,2030,302.2930378440948,344.47774712094343,NA,229.02004865883043,NA,NA,NA,NA
Benelux,2030,337.79158544268745,384.9300836684213,NA,255.91408219770545,NA,NA,NA,NA
Northern EU,2030,332.7679654687282,379.20542224927954,NA,252.1081404562586,NA,NA,NA,NA
"Central and 
Southeastern EU",2030,100.62074803860791,114.66227884427887,NA,76.23122509283442,NA,NA,NA,NA
France,2030,388.53705938690575,442.7570408010046,NA,NA,294.35933053952834,NA,NA,NA
Germany,2030,545.108598328281,621.1779908250035,NA,NA,412.97940106009133,NA,NA,NA
Italy,2030,158.577169002141,180.70646387445987,NA,NA,120.13955471836006,NA,NA,NA
Poland,2030,56.32733998711852,64.18776733483762,NA,NA,42.67412255562924,NA,NA,NA
"Spain and 
Portugal",2030,104.6547974504913,119.25927605959964,NA,NA,79.28745886914172,NA,NA,NA
UK,2030,300.1274996771748,342.01001013842733,NA,NA,227.37941657581055,NA,NA,NA
Benelux,2030,331.06619364434385,377.2661697664613,NA,NA,250.8188621162535,NA,NA,NA
Northern EU,2030,330.78505432172716,376.9457977156433,NA,NA,250.60586832121018,NA,NA,NA
"Central and 
Southeastern EU",2030,100.5504831957233,114.5822086086184,NA,NA,76.1779917869958,NA,NA,NA
France,2030,413.55030288964355,471.26085892219663,NA,NA,NA,313.30959907686275,NA,NA
Germany,2030,539.3346576184186,614.5983021165619,NA,NA,NA,408.6050092720546,NA,NA
Italy,2030,167.53395453828944,190.9131604128338,NA,NA,NA,126.92529968273253,NA,NA
Poland,2030,60.322026235909625,68.7399082946578,NA,NA,NA,45.70053442935137,NA,NA
"Spain and 
Portugal",2030,112.02825955507764,127.66169786985493,NA,NA,NA,84.87366310996622,NA,NA
UK,2030,324.86654396858626,370.20136480609864,NA,NA,NA,246.12194921168975,NA,NA
Benelux,2030,356.09875030090524,405.79199617393874,NA,NA,NA,269.7837624805727,NA,NA
Northern EU,2030,341.6363019113926,389.3113267063155,NA,NA,NA,258.8268755555081,NA,NA
"Central and 
Southeastern EU",2030,109.5784785425299,124.87005221979089,NA,NA,NA,83.01768597367993,NA,NA
France,2030,398.9674952445294,454.64303417799,NA,NA,NA,NA,302.26152684772705,NA
Germany,2030,547.4647437703219,623.8629341487134,NA,NA,NA,NA,414.7644390074812,NA
Italy,2030,159.43068072790157,181.67908235925256,NA,NA,NA,NA,120.78618322941885,NA
Poland,2030,56.777781792603434,64.70106787086439,NA,NA,NA,NA,43.015381504051774,NA
"Spain and 
Portugal",2030,106.26974807010195,121.09959152012958,NA,NA,NA,NA,80.51096064782175,NA
UK,2030,307.3255566135879,350.212549154171,NA,NA,NA,NA,232.83273221147053,NA
Benelux,2030,334.16429225909974,380.7966051307056,NA,NA,NA,NA,253.16601076566164,NA
Northern EU,2030,336.0798087722376,382.97943017267363,NA,NA,NA,NA,254.6172240922215,NA
"Central and 
Southeastern EU",2030,102.96123396343995,117.32937737987345,NA,NA,NA,NA,78.00439924270283,NA
ETS,2030,12.826287370401959,14.616183716280677,NA,NA,NA,NA,NA,9.717315948230933
