"r";"i";"hh";"Value"
"DEU";"oil";"hh1";7.232046544
"DEU";"gas";"hh1";1.581416707
"DEU";"ppp";"hh1";4.797717346
"DEU";"nmm";"hh1";0.805577812
"DEU";"nfm";"hh1";0.002195144
"DEU";"mvh";"hh1";4.503561369
"DEU";"ele";"hh1";8.760362365
"DEU";"COL";"hh1";0.046022784
"DEU";"CRU";"hh1";0.006075484
"DEU";"CHM";"hh1";6.922515356
"DEU";"IRS";"hh1";0.000414807
"DEU";"MAC";"hh1";5.755429284
"DEU";"FOT";"hh1";33.62492272
"DEU";"ROI";"hh1";15.858795425
"DEU";"BUI";"hh1";0.429069549
"DEU";"TRN";"hh1";8.027298076
"DEU";"AGR";"hh1";2.04916568
"DEU";"SER";"hh1";58.49835673
"DEU";"DWE";"hh1";51.76828445
"FRA";"oil";"hh1";4.977799957
"FRA";"gas";"hh1";0.449273218
"FRA";"ppp";"hh1";2.183181263
"FRA";"nmm";"hh1";0.337113611
"FRA";"nfm";"hh1";0.009192136
"FRA";"mvh";"hh1";4.537945537
"FRA";"ele";"hh1";3.367553548
"FRA";"COL";"hh1";0.005131896
"FRA";"CRU";"hh1";4.94e-07
"FRA";"CHM";"hh1";5.278708409
"FRA";"IRS";"hh1";0.004858778
"FRA";"MAC";"hh1";4.275608121
"FRA";"FOT";"hh1";18.539181917
"FRA";"ROI";"hh1";12.116649337
"FRA";"BUI";"hh1";0.984720689
"FRA";"TRN";"hh1";8.745815475
"FRA";"AGR";"hh1";2.162013167
"FRA";"SER";"hh1";51.99408443
"FRA";"DWE";"hh1";30.55001392
"ITA";"oil";"hh1";2.826964887
"ITA";"gas";"hh1";1.196915406
"ITA";"ppp";"hh1";1.00555988
"ITA";"nmm";"hh1";0.26591491
"ITA";"nfm";"hh1";0.0002137815
"ITA";"mvh";"hh1";0.245732291
"ITA";"ele";"hh1";3.305107154
"ITA";"COL";"hh1";0.000850464
"ITA";"CRU";"hh1";2.892609e-07
"ITA";"CHM";"hh1";3.107946475
"ITA";"IRS";"hh1";4.39008e-05
"ITA";"MAC";"hh1";0.788113577
"ITA";"FOT";"hh1";14.224293668
"ITA";"ROI";"hh1";7.162287822
"ITA";"BUI";"hh1";0.156256204
"ITA";"TRN";"hh1";2.423967198
"ITA";"AGR";"hh1";1.764734133
"ITA";"SER";"hh1";27.16898892
"ITA";"DWE";"hh1";18.98402807
"POL";"oil";"hh1";0.838036795
"POL";"gas";"hh1";0.163705639
"POL";"ppp";"hh1";0.549083831
"POL";"nmm";"hh1";0.271044131
"POL";"nfm";"hh1";0.021287089
"POL";"mvh";"hh1";0.492447799
"POL";"ele";"hh1";1.65
"POL";"COL";"hh1";0.149931073
"POL";"CRU";"hh1";4.60998e-08
"POL";"CHM";"hh1";1.215312057
"POL";"IRS";"hh1";0.014602217
"POL";"MAC";"hh1";0.489228079
"POL";"FOT";"hh1";6.634556395
"POL";"ROI";"hh1";1.542207326
"POL";"BUI";"hh1";1.582721112
"POL";"TRN";"hh1";1.478559593
"POL";"AGR";"hh1";0.913627763
