"r";"i";"hh";"Value"
"DEU";"oil";"hh1";7.232046544
"DEU";"gas";"hh1";1.581416707
"DEU";"ppp";"hh1";4.797717346
"DEU";"nmm";"hh1";0.805577812
"DEU";"nfm";"hh1";0.002195144
"DEU";"mvh";"hh1";4.503561369
"DEU";"ele";"hh1";8.760362365
"DEU";"COL";"hh1";0.046022784
"DEU";"CRU";"hh1";0.006075484
"DEU";"CHM";"hh1";6.922515356
"DEU";"IRS";"hh1";0.000414807
"DEU";"MAC";"hh1";5.755429284
"DEU";"FOT";"hh1";33.62492272
"DEU";"ROI";"hh1";15.858795425
"DEU";"BUI";"hh1";0.429069549
"DEU";"TRN";"hh1";8.027298076
"DEU";"AGR";"hh1";2.04916568
"DEU";"SER";"hh1";58.49835673
"DEU";"DWE";"hh1";51.76828445
"FRA";"oil";"hh1";4.918475587
"FRA";"gas";"hh1";0.444056314
"FRA";"ppp";"hh1";2.148114179
"FRA";"nmm";"hh1";0.33216647
"FRA";"nfm";"hh1";0.009069542
"FRA";"mvh";"hh1";4.470450542
"FRA";"ele";"hh1";3.325523892
"FRA";"COL";"hh1";0.005083914
"FRA";"CRU";"hh1";4.87e-07
"FRA";"CHM";"hh1";5.21104077
"FRA";"IRS";"hh1";0.004793976
"FRA";"MAC";"hh1";4.21130506
"FRA";"FOT";"hh1";18.319934001
"FRA";"ROI";"hh1";11.944351194
"FRA";"BUI";"hh1";0.972380958
"FRA";"TRN";"hh1";8.598259518
"FRA";"AGR";"hh1";2.136554518
"FRA";"SER";"hh1";81.38170809
"ITA";"oil";"hh1";2.400716943
"ITA";"gas";"hh1";1.024502728
"ITA";"ppp";"hh1";0.83443691
"ITA";"nmm";"hh1";0.219084383
"ITA";"nfm";"hh1";0.000168432
"ITA";"mvh";"hh1";0.183715856
"ITA";"ele";"hh1";2.871288573
"ITA";"COL";"hh1";0.000733681
"ITA";"CRU";"hh1";2.451e-07
"ITA";"CHM";"hh1";2.608640832
"ITA";"IRS";"hh1";3.46e-05
"ITA";"MAC";"hh1";0.625412942
"ITA";"FOT";"hh1";12.210425409
"ITA";"ROI";"hh1";5.938987449
"ITA";"BUI";"hh1";0.123079257
"ITA";"TRN";"hh1";1.972923656
"ITA";"AGR";"hh1";1.516552661
"ITA";"SER";"hh1";44.43927843
"POL";"oil";"hh1";0.794114212
"POL";"gas";"hh1";0.156602123
"POL";"ppp";"hh1";0.522942799
"POL";"nmm";"hh1";0.258081156
"POL";"nfm";"hh1";0.020294864
"POL";"mvh";"hh1";0.459976679
"POL";"ele";"hh1";1.585643822
"POL";"COL";"hh1";0.14486366
"POL";"CRU";"hh1";4.28e-08
"POL";"CHM";"hh1";1.15584575
"POL";"IRS";"hh1";0.013921584
"POL";"MAC";"hh1";0.460486134
"POL";"FOT";"hh1";6.372168493
"POL";"ROI";"hh1";1.459621359
"POL";"BUI";"hh1";1.506241604
"POL";"TRN";"hh1";1.413009697
"POL";"AGR";"hh1";0.878395049
"POL";"SER";"hh1";11.862019625
"UKI";"oil";"hh1";3.931450953
"UKI";"gas";"hh1";0.934809608
