Region;category;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
DEU;skl_labor;6.720704045;10.26384633;15.16114065;27.83610811;39.13651488;58.17456943;79.02656774;111.4350357;152.6097362;282.6798023
DEU;usk_labor;14.94447939;30.54475326;48.4832983;52.72259841;57.34003624;65.45827305;78.43612265;77.54908968;78.87582577;78.16771666
DEU;rkr;21.63255269;20.14432657;25.54595733;34.97841612;48.13674998;53.63102894;72.8951052;89.07598782;128.1370546;396.2985773
DEU;rkx_ele;0.333966713;0.310991247;0.394382462;0.540002228;0.743142633;0.827964166;1.125365971;1.375168954;1.978199778;6.118119071
DEU;taxes income;21.81676194;29.76087839;31.18640429;35.19258282;35.8923329;32.89756047;31.38563086;30.1161611;33.4824133;44.19333839
DEU;tax on income;-16.19875789;-16.62336913;-23.71653089;-32.69370844;-38.83415191;-50.52870297;-66.51049824;-83.25250381;-106.5185968;-175.7550473
DEU;cons_hh;-92.37477213;-98.83544125;-109.9697912;-121.6160117;-130.5180923;-142.0397071;-153.9439702;-175.3834886;-201.4489022;-281.6834369
DEU;savings;43.12506524;24.43401458;12.9151391;3.040012445;-11.89653244;-18.42098596;-42.41432397;-50.91545078;-87.11573072;-350.0190695
FRA;skl_labor;4.319639782;7.144921995;16.4854317;20.24303686;29.92307314;43.94309379;60.6135074;82.60435749;111.9704156;215.787189
FRA;usk_labor;13.95698973;26.16388951;34.61082681;41.46231222;45.08229391;47.83894598;49.2626317;44.52099099;43.00123009;52.30547029
FRA;rkr;6.349870269;9.481391963;12.69233773;15.39437756;21.06674441;27.44037092;40.20292148;53.85429511;83.63271584;395.0720414
FRA;rkx_ele;0.113459923;0.169414171;0.226787573;0.275067808;0.376422054;0.490306455;0.718348596;0.962272289;1.494355181;7.059174702
FRA;taxes income;19.99069655;25.00775105;25.28681847;28.48128117;28.40316271;27.56002602;29.14573789;34.921238;43.44630311;61.20155639
FRA;tax on income;-7.584166865;-12.34906747;-18.48002735;-23.97834324;-29.13979711;-34.69904474;-42.63039344;-50.7109441;-66.65344713;-142.6641003
FRA;cons_hh;-72.90796286;-75.52530615;-88.53728103;-97.02472039;-104.1659127;-110.8068644;-120.8430354;-133.0824675;-156.9113497;-201.3177696
FRA;savings;35.76147347;19.90700493;17.7151061;15.14698801;8.454013608;-1.766834038;-16.4697182;-33.06974228;-59.980223;-387.4435619
ITA;skl_labor;2.479278089;4.922552894;7.883432576;11.82649885;15.78899253;24.8363224;32.89585932;48.49247661;71.14598416;179.9372779
ITA;usk_labor;6.965442722;13.50278137;16.78005871;20.01805961;24.30535114;25.80235785;32.82323952;33.88827036;37.97451964;39.63168496
ITA;rkr;12.83088811;13.78915828;22.48164672;28.34674524;34.23109493;40.22354033;44.86423339;75.98236998;107.0559763;286.5172158
ITA;rkx_ele;0.24046491;0.258423944;0.421330707;0.531249083;0.641528247;0.753833244;0.84080492;1.423992915;2.006346365;5.369646741
ITA;taxes income;5.913442531;15.080249;18.27218279;22.54066567;24.54257333;26.31722981;24.97156029;27.01776701;30.07192142;49.30415767
ITA;tax on income;-3.355665481;-6.580312432;-9.639029544;-13.56759307;-17.38452494;-21.53956012;-27.43571349;-34.35500032;-46.66664073;-100.9674887
ITA;cons_hh;-31.52125246;-45.44873048;-56.65883878;-66.86743068;-76.5332355;-88.33320654;-102.1375216;-119.6234996;-149.3635089;-249.3165951
ITA;savings;6.447401577;4.475877414;0.459216824;-2.828194701;-5.591779738;-8.060516974;-6.822462363;-32.82637691;-52.22459825;-210.4758992
POL;skl_labor;0.452021757;0.732694982;1.08040587;2.195048492;3.075051442;4.393208989;5.972045318;10.42908091;17.50645313;44.28122554
POL;usk_labor;2.347151987;3.923641543;4.888543658;5.782636597;6.827091054;7.559772484;8.684436081;8.952319576;9.470208759;10.63245159
POL;rkr;1.856105094;1.782391734;4.672712683;2.227608013;1.097598971;3.29698284;3.650920604;5.862224369;11.37132586;112.726699
POL;rkx_ele;0.056860473;0.054602316;0.143145264;0.068241203;0.033624172;0.101000749;0.111843383;0.179585117;0.348352563;3.453303075
POL;taxes income;3.028472541;4.366963088;5.369357726;5.69981523;6.274450259;6.411442655;6.553948004;6.649705987;6.33320341;5.695096051
POL;tax on income;-1.307365669;-1.87953143;-2.414691741;-3.014171184;-3.626602015;-4.154554039;-4.885584382;-6.092638968;-7.721790924;-14.02595892
POL;cons_hh;-13.8035282;-15.26070045;-17.09306838;-19.08728243;-21.08821947;-22.54732458;-24.39054401;-27.80320384;-32.61120728;-46.34064181
POL;savings;7.370282014;6.279938218;3.353594919;6.128104075;7.407005583;4.939470905;4.302934998;1.822926853;-4.696545518;-116.4221746
UKI;skl_labor;2.960611629;4.483913147;8.84754419;12.94945938;20.85747531;35.1752708;45.76073576;74.65597;115.1598454;273.012214
UKI;usk_labor;7.373087633;14.65498838;23.19421027;32.75356663;38.07738677;44.5189405;55.43258826;52.61251728;54.47010919;48.69552698
UKI;rkr;15.65780157;11.51709766;11.16871915;9.94878835;17.31507954;27.99890164;45.18514424;66.72729866;91.08195365;239.068998
UKI;rkx_ele;0.418647816;0.307936447;0.298621736;0.266004043;0.462959005;0.748615888;1.208130137;1.78410984;2.435288301;6.392066821
UKI;taxes income;20.11101661;28.40327976;28.26174112;26.44480331;27.35421338;24.65309244;21.84584655;21.27669857;19.39904089;26.35087664
